,assists,clean_sheets,creativity,goals_scored,influence,kickoff_time,opponent_team,full,team,total_points,round
0,0,0,0.1,0,0.2,2019-08-31 14:00:00,Man City,Aaron Connolly,Brighton,1,4
1,0,0,0.3,0,1.0,2019-09-14 14:00:00,Burnley,Aaron Connolly,Brighton,1,5
2,0,0,4.8,0,2.0,2019-09-21 16:30:00,Newcastle United,Aaron Connolly,Brighton,1,6
3,0,0,0.6,0,0.2,2019-09-28 14:00:00,Chelsea,Aaron Connolly,Brighton,1,7
4,0,1,23.8,2,70.2,2019-10-05 11:30:00,Tottenham,Aaron Connolly,Brighton,13,8
5,0,0,10.6,0,4.4,2019-10-19 14:00:00,Aston Villa,Aaron Connolly,Brighton,1,9
6,2,0,0.3,0,0.0,2019-10-26 14:00:00,Everton,Aaron Connolly,Brighton,8,10
7,0,1,5.8,0,0.0,2019-11-02 15:00:00,Norwich,Aaron Connolly,Brighton,2,11
8,0,0,1.3,0,0.0,2019-11-10 14:00:00,Man Utd,Aaron Connolly,Brighton,1,12
9,0,0,0.0,0,0.0,2019-11-23 15:00:00,Leicester,Aaron Connolly,Brighton,0,13
10,0,0,1.7,0,1.2,2019-11-30 15:00:00,Liverpool,Aaron Connolly,Brighton,2,14
11,0,0,0.3,0,6.2,2019-12-05 20:15:00,Arsenal,Aaron Connolly,Brighton,2,15
12,0,0,0.0,0,0.0,2019-12-08 16:30:00,Wolves,Aaron Connolly,Brighton,0,16
13,0,0,0.0,0,0.0,2019-12-16 19:45:00,Crystal Palace,Aaron Connolly,Brighton,0,17
14,0,0,1.0,0,2.2,2019-12-21 15:00:00,Sheffield United,Aaron Connolly,Brighton,1,18
15,0,0,1.3,0,0.0,2019-12-26 12:30:00,Tottenham,Aaron Connolly,Brighton,2,19
16,0,0,0.0,0,0.0,2019-12-28 12:30:00,Bournemouth,Aaron Connolly,Brighton,0,20
17,0,0,0.6,0,3.4,2020-01-01 12:30:00,Chelsea,Aaron Connolly,Brighton,1,21
18,0,0,0.0,0,0.0,2020-01-11 15:00:00,Everton,Aaron Connolly,Brighton,0,22
19,0,1,10.4,0,0.0,2020-01-18 15:00:00,Aston Villa,Aaron Connolly,Brighton,2,23
20,0,0,0.0,0,0.0,2020-01-21 19:30:00,Bournemouth,Aaron Connolly,Brighton,1,24
21,0,0,0.0,0,0.0,2020-02-01 15:00:00,West Ham,Aaron Connolly,Brighton,0,25
22,0,0,0.0,0,0.0,2020-02-08 17:30:00,Watford,Aaron Connolly,Brighton,0,26
23,0,0,0.0,0,0.0,2020-02-22 15:00:00,Sheffield United,Aaron Connolly,Brighton,1,27
24,0,0,0.0,0,0.0,2020-02-29 12:30:00,Crystal Palace,Aaron Connolly,Brighton,0,28
25,0,0,0.0,0,0.0,2020-03-07 15:00:00,Wolves,Aaron Connolly,Brighton,0,29
26,1,0,13.3,0,17.2,2020-06-20 14:00:00,Arsenal,Aaron Connolly,Brighton,4,30
27,0,1,12.2,0,6.6,2020-06-23 17:00:00,Leicester,Aaron Connolly,Brighton,2,31
28,0,0,0.1,0,1.4,2020-06-30 19:15:00,Man Utd,Aaron Connolly,Brighton,2,32
29,0,1,0.8,0,0.0,2020-07-04 11:30:00,Norwich,Aaron Connolly,Brighton,2,33
30,0,0,0.1,0,0.0,2020-07-08 19:15:00,Liverpool,Aaron Connolly,Brighton,1,34
31,0,0,1.1,0,0.0,2020-07-11 19:00:00,Man City,Aaron Connolly,Brighton,1,35
32,0,0,0.0,0,0.0,2020-07-16 19:15:00,Southampton,Aaron Connolly,Brighton,0,36
33,0,0,0.0,0,0.0,2020-07-20 17:00:00,Newcastle United,Aaron Connolly,Brighton,0,37
34,0,0,0.9,1,34.4,2020-07-26 15:00:00,Burnley,Aaron Connolly,Brighton,8,38
35,0,0,1.5,0,9.0,2019-08-10 11:30:00,Man City,Aaron Cresswell,West Ham,0,1
36,0,0,0.0,0,0.0,2019-08-17 14:00:00,Brighton,Aaron Cresswell,West Ham,0,2
37,0,0,0.0,0,0.0,2019-08-24 14:00:00,Watford,Aaron Cresswell,West Ham,0,3
38,0,0,0.0,0,0.0,2019-08-31 14:00:00,Norwich,Aaron Cresswell,West Ham,0,4
39,0,0,0.0,0,0.0,2019-09-16 19:00:00,Aston Villa,Aaron Cresswell,West Ham,0,5
40,0,1,2.2,1,43.8,2019-09-22 13:00:00,Man Utd,Aaron Cresswell,West Ham,14,6
41,0,0,3.9,1,40.8,2019-09-28 14:00:00,Bournemouth,Aaron Cresswell,West Ham,7,7
42,0,0,1.3,0,13.0,2019-10-05 16:30:00,Crystal Palace,Aaron Cresswell,West Ham,2,8
